assembly_accession	country_iso3	year	prn_call	prn_interpretable	prn_disrupted
GCA_001198195.1	AUS	1998	intact	True	False
GCA_001198955.1	AUS	1998	partial	False	False
GCA_001205335.1	AUS	1998	partial	False	False
GCA_001198375.1	AUS	2000	intact	True	False
GCA_001203235.1	AUS	2000	disrupted_multi_hsp	True	True
GCA_001204675.1	AUS	2000	partial	False	False
GCA_001331635.1	AUS	2000	disrupted_multi_hsp	True	True
GCA_001198715.1	AUS	2002	disrupted_multi_hsp	True	True
GCA_001331015.1	AUS	2002	disrupted_multi_hsp	True	True
GCA_001333395.1	AUS	2002	intact	True	False
GCA_001196975.1	AUS	2004	intact	True	False
GCA_900067715.2	AUS	2004	intact	True	False
GCA_001333355.1	AUS	2006	intact	True	False
GCA_001333175.1	AUS	2007	disrupted_multi_hsp	True	True
GCA_001333455.1	AUS	2007	partial	False	False
GCA_002270325.1	AUS	2014	intact	True	False
GCA_000662235.1	USA	1935	intact	True	False
GCA_001331815.1	USA	1935	intact	True	False
GCA_001199415.1	USA	1939	disrupted_multi_hsp	True	True
GCA_001208905.1	USA	1946	disrupted_multi_hsp	True	True
GCA_001193515.1	USA	1977	disrupted_multi_hsp	True	True
GCA_001210045.1	USA	1977	intact	True	False
GCA_001331875.1	USA	1977	intact	True	False
GCA_001332915.1	USA	1978	disrupted_multi_hsp	True	True
GCA_001211225.1	USA	1986	partial	False	False
GCA_001209025.1	USA	1993	disrupted_multi_hsp	True	True
GCA_001332575.1	USA	1993	partial	False	False
GCA_001196085.1	USA	1995	disrupted_multi_hsp	True	True
GCA_001331795.1	USA	1997	disrupted_multi_hsp	True	True
GCA_001331895.1	USA	1997	intact	True	False
GCA_001194095.1	USA	1998	intact	True	False
GCA_001332115.1	USA	1998	partial	False	False
GCA_001196995.1	USA	1999	disrupted_multi_hsp	True	True
GCA_001204135.1	USA	1999	intact	True	False
GCA_001332135.1	USA	1999	partial	False	False
GCA_001332155.1	USA	1999	partial	False	False
GCA_001193455.1	USA	2000	disrupted_multi_hsp	True	True
GCA_001196455.1	USA	2000	intact	True	False
GCA_001332175.1	USA	2000	intact	True	False
GCA_001332655.1	USA	2000	partial	False	False
GCA_001198095.1	USA	2001	disrupted_multi_hsp	True	True
GCA_001211905.1	USA	2001	partial	False	False
GCA_001332695.1	USA	2002	partial	False	False
GCA_001199115.1	USA	2003	disrupted_multi_hsp	True	True
GCA_001208285.1	USA	2003	disrupted_multi_hsp	True	True
GCA_001211805.1	USA	2003	intact	True	False
GCA_001331775.1	USA	2003	intact	True	False
GCA_001200315.1	USA	2004	intact	True	False
GCA_001200435.1	USA	2004	intact	True	False
GCA_001331235.1	USA	2004	intact	True	False
GCA_001209245.1	USA	2005	disrupted_multi_hsp	True	True
GCA_001212645.1	USA	2005	disrupted_multi_hsp	True	True
GCA_050359955.1	USA	2012	disrupted_multi_hsp	True	True
GCA_050360035.1	USA	2012	intact	True	False
GCA_050360055.1	USA	2012	intact	True	False
GCA_050359875.1	USA	2015	disrupted_multi_hsp	True	True
GCA_050359815.1	USA	2018	disrupted_multi_hsp	True	True
