comparison_id	country_iso3	country_name	epoch_slot	epoch_id	epoch_label	block_id	block_level	block_total_samples	block_interpretable_samples	block_disrupted_samples	block_total_share	block_interpretable_share	block_disrupted_share	block_is_dominant
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867632	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867633	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867634	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867635	sample_id_canonical_singleton	1	1	1	0.001088139281828074	0.0011160714285714285	0.0019011406844106464	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867636	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867637	sample_id_canonical_singleton	1	1	1	0.001088139281828074	0.0011160714285714285	0.0019011406844106464	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN04867638	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN05948795	sample_id_canonical_singleton	1	1	1	0.001088139281828074	0.0011160714285714285	0.0019011406844106464	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN08136983	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN08136984	sample_id_canonical_singleton	1	1	1	0.001088139281828074	0.0011160714285714285	0.0019011406844106464	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN08395646	sample_id_canonical_singleton	1	1	1	0.001088139281828074	0.0011160714285714285	0.0019011406844106464	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN10176220	sample_id_canonical_singleton	1	1	1	0.001088139281828074	0.0011160714285714285	0.0019011406844106464	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN12523731	sample_id_canonical_singleton	1	1	0	0.001088139281828074	0.0011160714285714285	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	next	usa_ap_prn_background	Sustained acellular background with PRN exposure	singleton:SAMN18620756	sample_id_canonical_singleton	1	1	1	0.001088139281828074	0.0011160714285714285	0.0019011406844106464	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	previous	usa_wp_only	Whole-cell routine vaccination era	PRJEB2274	bioproject_accession	11	9	6	0.4782608695652174	0.42857142857142855	1.0	True
USA:usa_wp_only->usa_ap_prn_background	USA	United States	previous	usa_wp_only	Whole-cell routine vaccination era	PRJNA279196	bioproject_accession	9	9	0	0.391304347826087	0.42857142857142855	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	previous	usa_wp_only	Whole-cell routine vaccination era	PRJNA231221	bioproject_accession	1	1	0	0.043478260869565216	0.047619047619047616	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	previous	usa_wp_only	Whole-cell routine vaccination era	PRJNA237095	bioproject_accession	1	1	0	0.043478260869565216	0.047619047619047616	0.0	False
USA:usa_wp_only->usa_ap_prn_background	USA	United States	previous	usa_wp_only	Whole-cell routine vaccination era	singleton:SAMN04994865	sample_id_canonical_singleton	1	1	0	0.043478260869565216	0.047619047619047616	0.0	False
