sample_id_canonical	assembly_accession	country	year	source_database	assembly_level	n_contigs	total_sequence_length	gc_percent	contig_n50
SAMEA751502	GCA_001193855.1	Australia	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	1046	3737689	67.5	6349
SAMEA751147	GCA_001193935.1	Finland	1991.0	SOURCE_DATABASE_GENBANK	Scaffold	977	3738625	67.5	6883
SAMEA751241	GCA_001194095.1	USA	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	1243	3667205	67.5	5649
SAMEA751489	GCA_001194225.1	Japan	1999.0	SOURCE_DATABASE_GENBANK	Scaffold	313	3810251	68.0	18984
SAMEA751448	GCA_001194565.1	Japan	1991.0	SOURCE_DATABASE_GENBANK	Scaffold	285	3802568	68.0	20593
SAMEA2015291	GCA_001194605.1	Netherlands	1999.0	SOURCE_DATABASE_GENBANK	Scaffold	1147	3674735	67.5	5887
SAMEA751140	GCA_001194985.1	Italy	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	1145	3656526	67.5	5952
SAMEA751320	GCA_001195245.1	Sweden	1970.0	SOURCE_DATABASE_GENBANK	Scaffold	824	3760840	67.5	8275
SAMEA751472	GCA_001195265.1	Australia	1995.0	SOURCE_DATABASE_GENBANK	Scaffold	951	3735631	67.5	6863
SAMEA1933004	GCA_001195625.1	Netherlands	1949.0	SOURCE_DATABASE_GENBANK	Scaffold	1085	3750288	67.5	6586
SAMEA751151	GCA_001195885.1	Finland	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	1133	3714497	67.5	6109
SAMEA1931798	GCA_001196005.1	Netherlands	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	1022	3706483	67.5	6500
SAMEA751239	GCA_001196085.1	USA	1995.0	SOURCE_DATABASE_GENBANK	Scaffold	1230	3714289	67.5	5507
SAMEA2015299	GCA_001196395.1	Netherlands	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	929	3716652	67.5	6915
SAMEA751259	GCA_001196455.1	USA	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	946	3734082	67.5	6945
SAMEA751417	GCA_001196575.1	France	2007.0	SOURCE_DATABASE_GENBANK	Scaffold	884	3734233	67.5	7555
SAMEA751130	GCA_001196855.1	Argentina	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	815	3770619	67.5	7954
SAMEA751477	GCA_001196975.1	Australia	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	498	3816729	68.0	13077
SAMEA751255	GCA_001196995.1	USA	1999.0	SOURCE_DATABASE_GENBANK	Scaffold	1016	3706214	67.5	6820
SAMEA1933033	GCA_001197335.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	1485	3577366	67.5	4261
SAMEA751453	GCA_001197455.1	Italy	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	1096	3709067	67.5	6230
SAMEA751296	GCA_001197495.1	Sweden	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	718	3771114	68.0	9076
SAMEA751263	GCA_001197815.1	Netherlands	1996.0	SOURCE_DATABASE_GENBANK	Scaffold	350	3807825	68.0	17714
SAMEA751341	GCA_001198095.1	USA	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	605	3796500	68.0	11018
SAMEA751337	GCA_001198195.1	Australia	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	521	3805015	68.0	11986
SAMEA751146	GCA_001198355.1	Canada	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	1595	3568309	67.5	3835
SAMEA751475	GCA_001198375.1	Australia	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	348	3829485	68.0	17525
SAMEA751506	GCA_001198715.1	Australia	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	581	3808135	68.0	11253
SAMEA751152	GCA_001198815.1	Finland	1999.0	SOURCE_DATABASE_GENBANK	Scaffold	367	3814006	68.0	16210
SAMEA751421	GCA_001198955.1	Australia	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	1238	3691686	67.5	5460
SAMEA1931800	GCA_001199115.1	USA	2003.0	SOURCE_DATABASE_GENBANK	Scaffold	724	3753926	68.0	9238
SAMEA751178	GCA_001199415.1	USA	1939.0	SOURCE_DATABASE_GENBANK	Scaffold	574	3832386	68.0	10759
SAMEA1931870	GCA_001199955.1	Russia	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	1279	3633229	67.5	5360
SAMEA751359	GCA_001200055.1	Sweden	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	848	3755111	67.5	7806
SAMEA751456	GCA_001200095.1	Taiwan	2006.0	SOURCE_DATABASE_GENBANK	Scaffold	561	3795020	68.0	11727
SAMEA751162	GCA_001200175.1	Denmark	1962.0	SOURCE_DATABASE_GENBANK	Scaffold	284	3835481	68.0	20442
SAMEA1986110	GCA_001200315.1	USA	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	1118	3679353	67.5	6224
SAMEA2015292	GCA_001200435.1	USA	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	350	3811838	68.0	16771
SAMEA751129	GCA_001200475.1	Argentina	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	925	3734443	67.5	7077
SAMEA751142	GCA_001200675.1	Italy	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	670	3787910	68.0	9786
SAMEA751467	GCA_001200735.1	Taiwan	2006.0	SOURCE_DATABASE_GENBANK	Scaffold	475	3800696	68.0	14314
SAMEA1986111	GCA_001201155.1	Argentina	2005.0	SOURCE_DATABASE_GENBANK	Scaffold	940	3709130	67.5	7226
SAMEA751307	GCA_001201315.1	Sweden	2006.0	SOURCE_DATABASE_GENBANK	Scaffold	641	3785995	68.0	10241
SAMEA751435	GCA_001201375.1	Taiwan	2005.0	SOURCE_DATABASE_GENBANK	Scaffold	1344	3655345	67.5	5072
SAMEA751164	GCA_001201395.1	Denmark	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	318	3809712	68.0	19020
SAMEA751487	GCA_001201595.1	Japan	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	1387	3617186	67.5	4795
SAMEA1931507	GCA_001201635.1	Australia	1978.0	SOURCE_DATABASE_GENBANK	Scaffold	894	3737227	67.5	7650
SAMEA751429	GCA_001201995.1	Canada	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	1122	3678838	67.5	6207
SAMEA751126	GCA_001202375.1	Japan	2007.0	SOURCE_DATABASE_GENBANK	Scaffold	683	3793936	68.0	9424
SAMEA751519	GCA_001202455.1	Argentina	2007.0	SOURCE_DATABASE_GENBANK	Scaffold	781	3787366	68.0	8656
SAMEA751127	GCA_001202495.1	Japan	2006.0	SOURCE_DATABASE_GENBANK	Scaffold	280	3816597	68.0	20971
SAMEA751154	GCA_001202515.1	Canada	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	1661	3541330	67.5	3630
SAMEA751413	GCA_001202575.1	France	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	652	3779211	68.0	9704
SAMEA1931350	GCA_001202695.1	Netherlands	1965.0	SOURCE_DATABASE_GENBANK	Scaffold	1165	3656794	67.5	5907
SAMEA751158	GCA_001202875.1	Denmark	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	970	3699520	67.5	6770
SAMEA751470	GCA_001203115.1	Australia	1997.0	SOURCE_DATABASE_GENBANK	Scaffold	843	3773633	68.0	7642
SAMEA751444	GCA_001203155.1	Taiwan	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	1510	689451	60.5	464
SAMEA751405	GCA_001203235.1	Australia	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	888	3754221	67.5	7498
SAMEA751443	GCA_001203895.1	Taiwan	1999.0	SOURCE_DATABASE_GENBANK	Scaffold	1584	755957	61.0	485
SAMEA751511	GCA_001203935.1	Australia	1977.0	SOURCE_DATABASE_GENBANK	Scaffold	406	3824566	68.0	15170
SAMEA751252	GCA_001204135.1	USA	1999.0	SOURCE_DATABASE_GENBANK	Scaffold	1464	3622642	67.5	4414
SAMEA1931802	GCA_001204435.1	Hong Kong	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	736	3762516	68.0	9438
SAMEA751403	GCA_001204675.1	Australia	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	1068	3729167	67.5	6237
SAMEA751345	GCA_001205255.1	France	1996.0	SOURCE_DATABASE_GENBANK	Scaffold	1046	3742490	67.5	6398
SAMEA2035349	GCA_001205275.1	Netherlands	1982.0	SOURCE_DATABASE_GENBANK	Scaffold	1018	3705178	67.5	6420
SAMEA1931801	GCA_001205335.1	Australia	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	1123	3685166	67.5	6164
SAMEA751522	GCA_001205915.1	Japan	1996.0	SOURCE_DATABASE_GENBANK	Scaffold	621	3769275	68.0	11000
SAMEA751156	GCA_001206235.1	Denmark	1974.0	SOURCE_DATABASE_GENBANK	Scaffold	468	3819102	68.0	13495
SAMEA1931536	GCA_001206335.1	China	1957.0	SOURCE_DATABASE_GENBANK	Scaffold	1044	3728595	67.5	6215
SAMEA751292	GCA_001206615.1	Sweden	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	843	3776404	68.0	7650
SAMEA751183	GCA_001206895.1	Australia	1995.0	SOURCE_DATABASE_GENBANK	Scaffold	327	3821068	68.0	18351
SAMEA751445	GCA_001206915.1	Taiwan	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	1124	472132	59.5	414
SAMEA751411	GCA_001206935.1	France	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	585	3788220	68.0	11516
SAMEA751451	GCA_001207095.1	Japan	1988.0	SOURCE_DATABASE_GENBANK	Scaffold	708	3752182	68.0	9242
SAMEA751426	GCA_001207655.1	Canada	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	626	3780666	68.0	10702
SAMEA751497	GCA_001207695.1	Italy	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	322	3815631	68.0	18327
SAMEA751141	GCA_001207905.1	Italy	1995.0	SOURCE_DATABASE_GENBANK	Scaffold	1006	3707997	67.5	6816
SAMEA751163	GCA_001208005.1	Denmark	1968.0	SOURCE_DATABASE_GENBANK	Scaffold	838	3756789	67.5	7832
SAMEA751350	GCA_001208065.1	France	1993.0	SOURCE_DATABASE_GENBANK	Scaffold	1110	3731335	67.5	6091
SAMEA751507	GCA_001208145.1	Australia		SOURCE_DATABASE_GENBANK	Scaffold	866	3764606	68.0	7502
SAMEA1931868	GCA_001208185.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	887	3767353	67.5	7570
SAMEA751136	GCA_001208205.1	Italy	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	1282	3646465	67.5	5220
SAMEA751261	GCA_001208285.1	USA	2003.0	SOURCE_DATABASE_GENBANK	Scaffold	1056	3730802	67.5	6346
SAMEA751177	GCA_001208905.1	USA	1946.0	SOURCE_DATABASE_GENBANK	Scaffold	603	3819451	68.0	11193
SAMEA1931450	GCA_001209025.1	USA	1993.0	SOURCE_DATABASE_GENBANK	Scaffold	1462	3624608	67.5	4564
SAMEA751494	GCA_001209065.1	Taiwan	2007.0	SOURCE_DATABASE_GENBANK	Scaffold	705	3779481	68.0	9196
SAMEA1931345	GCA_001209245.1	USA	2005.0	SOURCE_DATABASE_GENBANK	Scaffold	762	3764177	68.0	8835
SAMEA751452	GCA_001209845.1	Italy	1995.0	SOURCE_DATABASE_GENBANK	Scaffold	1078	3705152	67.5	6305
SAMEA1931721	GCA_001209985.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	1069	3704719	67.5	6325
SAMEA751176	GCA_001210045.1	USA	1977.0	SOURCE_DATABASE_GENBANK	Scaffold	418	3792368	68.0	15128
SAMEA751174	GCA_001210145.1	Finland	1965.0	SOURCE_DATABASE_GENBANK	Scaffold	893	3772929	67.5	7538
SAMEA751508	GCA_001210185.1	Australia	1971.0	SOURCE_DATABASE_GENBANK	Scaffold	499	3822273	68.0	12537
SAMEA751485	GCA_001210485.1	Japan	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	1771	3463169	67.0	3180
SAMEA751145	GCA_001210765.1	Finland	1977.0	SOURCE_DATABASE_GENBANK	Scaffold	1095	3730093	67.5	6298
SAMEA751364	GCA_001210865.1	Netherlands	1991.0	SOURCE_DATABASE_GENBANK	Scaffold	615	3829491	68.0	10672
SAMEA1933040	GCA_001210905.1	Poland	1968.0	SOURCE_DATABASE_GENBANK	Scaffold	1367	3597552	67.5	4861
SAMEA751457	GCA_001211005.1	Taiwan	2005.0	SOURCE_DATABASE_GENBANK	Scaffold	449	3800385	68.0	14058
SAMEA751437	GCA_001211165.1	Taiwan	2003.0	SOURCE_DATABASE_GENBANK	Scaffold	1800	3469691	67.0	3222
SAMEA1931537	GCA_001211225.1	USA	1986.0	SOURCE_DATABASE_GENBANK	Scaffold	890	3728032	67.5	7892
SAMEA751376	GCA_001211645.1	Poland	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	569	3798702	68.0	10744
SAMEA751148	GCA_001211725.1	Finland	1982.0	SOURCE_DATABASE_GENBANK	Scaffold	1384	3658589	67.5	4960
SAMEA751179	GCA_001211785.1	Netherlands	1976.0	SOURCE_DATABASE_GENBANK	Scaffold	996	3701743	67.5	6823
SAMEA1931573	GCA_001211805.1	USA	2003.0	SOURCE_DATABASE_GENBANK	Scaffold	1134	3673776	67.5	6079
SAMEA751168	GCA_001211905.1	USA	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	1153	3681561	67.5	5940
SAMEA751491	GCA_001211945.1	Japan	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	884	3724719	67.5	7561
SAMEA751466	GCA_001211985.1	Taiwan	2007.0	SOURCE_DATABASE_GENBANK	Scaffold	450	3805315	68.0	13508
SAMEA751514	GCA_001212045.1	Australia	1989.0	SOURCE_DATABASE_GENBANK	Scaffold	1166	3703096	67.5	5749
SAMEA751161	GCA_001212285.1	Finland	2006.0	SOURCE_DATABASE_GENBANK	Scaffold	847	3727583	67.5	7869
SAMEA751386	GCA_001212485.1	Poland	1995.0	SOURCE_DATABASE_GENBANK	Scaffold	988	3734878	67.5	6336
SAMEA751339	GCA_001212505.1	Sweden	1998.0	SOURCE_DATABASE_GENBANK	Scaffold	1205	3698920	67.5	5707
SAMEA751348	GCA_001212525.1	France	1995.0	SOURCE_DATABASE_GENBANK	Scaffold	956	3727219	67.5	6884
SAMEA751180	GCA_001212625.1	Netherlands	1950.0	SOURCE_DATABASE_GENBANK	Scaffold	1278	3717567	67.5	5432
SAMEA1931799	GCA_001212645.1	USA	2005.0	SOURCE_DATABASE_GENBANK	Scaffold	856	3734032	67.5	7859
SAMEA751153	GCA_001262195.1	Canada	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	1366	3616598	67.5	4774
SAMN03491903	GCA_001307525.1	France	2009.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4101147	67.5	4101147
SAMN03491902	GCA_001307565.1	France	2008.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4100705	67.5	4100705
SAMN03566780	GCA_001307585.1	Netherlands	1999.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4108472	67.5	4108472
SAMN03566781	GCA_001307605.1	Netherlands	1999.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4105363	67.5	4105363
SAMN03566782	GCA_001307625.1	Netherlands	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109988	67.5	4109988
SAMN03566783	GCA_001307645.1	Sweden	2009.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104305	67.5	4104305
SAMN03566784	GCA_001307665.1	Sweden	2009.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106388	67.5	4106388
SAMN03566785	GCA_001307685.1	Netherlands	2010.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110990	67.5	4110990
SAMN03566786	GCA_001307705.1	Norway	2009.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4103254	67.5	4103254
SAMN03566787	GCA_001307725.1	Netherlands	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109548	67.5	4109548
SAMN03566788	GCA_001307745.1	Netherlands	2012.0	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111557	67.5	4111557
SAMEA751268	GCA_001319225.1	Poland	1974.0	SOURCE_DATABASE_GENBANK	Scaffold	760	3760241	68.0	7975
SAMEA751270	GCA_001319245.1	Poland	1974.0	SOURCE_DATABASE_GENBANK	Scaffold	668	3789726	68.0	9382
SAMEA751394	GCA_001319265.1	Poland	1997.0	SOURCE_DATABASE_GENBANK	Scaffold	863	3777917	68.0	7631
SAMEA751397	GCA_001319285.1	Poland	1999.0	SOURCE_DATABASE_GENBANK	Scaffold	653	3787692	68.0	10083
SAMEA1931276	GCA_001330975.1	Taiwan	1992.0	SOURCE_DATABASE_GENBANK	Scaffold	1715	844538	61.5	499
SAMEA1931344	GCA_001330995.1	Netherlands	1950.0	SOURCE_DATABASE_GENBANK	Scaffold	1176	3709730	67.5	5880
SAMEA1931346	GCA_001331015.1	Australia	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	979	3689049	67.5	6659
SAMEA1931347	GCA_001331035.1	Hong Kong	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	1084	3686205	67.5	6197
SAMEA1931348	GCA_001331055.1	Poland	1963.0	SOURCE_DATABASE_GENBANK	Scaffold	375	3828670	68.0	16152
SAMEA1931351	GCA_001331075.1	Netherlands	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	1701	3424597	67.0	3517
SAMEA1931352	GCA_001331095.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	1419	3596575	67.5	4512
SAMEA1931718	GCA_001331115.1	Netherlands	1950.0	SOURCE_DATABASE_GENBANK	Scaffold	2173	3410586	67.0	2636
SAMEA1931720	GCA_001331135.1	Russia	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	1140	3681281	67.5	5957
SAMEA1931748	GCA_001331155.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	407	3846507	68.0	14809
SAMEA1931804	GCA_001331175.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	1159	3696568	67.5	6017
SAMEA1931806	GCA_001331195.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	2508	3492107	67.0	2566
SAMEA1931871	GCA_001331215.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	407	3828032	68.0	15549
SAMEA1932947	GCA_001331235.1	USA	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	1269	3632833	67.5	5253
SAMEA1933007	GCA_001331255.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	771	3776414	68.0	8665
SAMEA1970817	GCA_001331275.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	1227	3654018	67.5	5234
SAMEA2015293	GCA_001331295.1	Hong Kong	2006.0	SOURCE_DATABASE_GENBANK	Scaffold	949	3723380	67.5	7429
SAMEA2015294	GCA_001331315.1	Hong Kong	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	1530	3591803	67.5	4370
SAMEA2015295	GCA_001331335.1	Hong Kong	2002.0	SOURCE_DATABASE_GENBANK	Scaffold	1015	3691840	67.5	6667
SAMEA2031986	GCA_001331355.1	Kenya	1975.0	SOURCE_DATABASE_GENBANK	Scaffold	958	3747726	67.5	7155
SAMEA751125	GCA_001331375.1	Argentina	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	561	3787697	68.0	11537
SAMEA751128	GCA_001331395.1	Finland	2006.0	SOURCE_DATABASE_GENBANK	Scaffold	1241	3642765	67.5	5485
SAMEA751131	GCA_001331415.1	Argentina	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	812	3721867	68.0	7869
SAMEA751132	GCA_001331435.1	Finland	2004.0	SOURCE_DATABASE_GENBANK	Scaffold	1118	3689518	67.5	6067
SAMEA751133	GCA_001331455.1	Finland	2006.0	SOURCE_DATABASE_GENBANK	Scaffold	1514	3569951	67.5	3997
SAMEA751134	GCA_001331475.1	Argentina	2008.0	SOURCE_DATABASE_GENBANK	Scaffold	341	3815303	68.0	17466
SAMEA751137	GCA_001331495.1	Italy	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	690	3767391	68.0	9250
SAMEA751138	GCA_001331515.1	Italy	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	312	3817667	68.0	18997
SAMEA751139	GCA_001331535.1	Italy	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	742	3773300	68.0	8947
SAMEA751143	GCA_001331555.1	Finland	1964.0	SOURCE_DATABASE_GENBANK	Scaffold	566	3845233	68.0	11542
SAMEA751144	GCA_001331575.1	Finland	1953.0	SOURCE_DATABASE_GENBANK	Scaffold	467	3853629	68.0	13404
SAMEA751149	GCA_001331595.1	Finland	1996.0	SOURCE_DATABASE_GENBANK	Scaffold	835	3766218	68.0	7734
SAMEA751150	GCA_001331615.1	Finland	1994.0	SOURCE_DATABASE_GENBANK	Scaffold	1207	3698601	67.5	5753
SAMEA751155	GCA_001331635.1	Australia	2000.0	SOURCE_DATABASE_GENBANK	Scaffold	475	3824464	68.0	13810
SAMEA751157	GCA_001331655.1	Denmark	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	428	3814262	68.0	14617
SAMEA751159	GCA_001331675.1	Denmark	2001.0	SOURCE_DATABASE_GENBANK	Scaffold	1301	3618935	67.5	5163
SAMEA751160	GCA_001331695.1	Finland	2003.0	SOURCE_DATABASE_GENBANK	Scaffold	1172	3676140	67.5	5948
SAMEA751165	GCA_001331715.1	Denmark	2005.0	SOURCE_DATABASE_GENBANK	Scaffold	701	3783713	68.0	9543
SAMEA751166	GCA_001331735.1	Taiwan	2007.0	SOURCE_DATABASE_GENBANK	Scaffold	543	3807466	68.0	11956
