analysis_layer	family_key	family_label	plot_group	display_order	sample_id_canonical	parent_sample_id	prn_event_id	prn_mechanism_call	read_validation_status	read_support_class	targeted_locus_assembly_status	recovery_plan_status	recovery_run_compatibility	recovery_library_layout	recovery_instrument_platform	recovery_download_strategy	followup_class	recommended_action	status_bucket	compatibility_state	count_in_total_denominator	count_in_resolved_denominator	count_as_recovered	count_as_true_nonrecovery	count_as_compatibility_excluded	downsample_fraction_label	downsample_fraction	downsample_replicate	downsample_seed	downsample_n_read_pairs_total	downsample_n_read_pairs_retained	downsample_n_bam_records_retained	downsample_reads_1_path	downsample_reads_2_path	downsample_bam_path	validation_method	validator_version	source_notes	validation_notes	run_status	source_file	notes
empirical	insufficient_data	Insufficient data	context	6	SAMEA751432		prn_evt_insufficient__not_available_current_step3	insufficient_data	no_prn_is_signal_detected	no_prn_local_is_signal	no_current_step3_prn_input								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=no_current_step3_prn_input	raw_read_link_status=linked;read_accession_source=ENA;prn_call_confidence=insufficient_evidence;evidence_flags=legacy_step3_coverage_gap;no_step3_prn_input;upstream_notes=prn04_rule=no_current_step3_prn_input;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	insufficient_data	Insufficient data	context	6	SAMEA1933004		prn_evt_insufficient__not_available_current_step3	insufficient_data	no_prn_is_signal_detected	no_prn_local_is_signal	no_current_step3_prn_input								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=no_current_step3_prn_input	raw_read_link_status=linked;read_accession_source=ENA;prn_call_confidence=insufficient_evidence;evidence_flags=legacy_step3_coverage_gap;no_step3_prn_input;upstream_notes=prn04_rule=no_current_step3_prn_input;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	insufficient_data	Insufficient data	context	6	SAMEA751354		prn_evt_insufficient__not_available_current_step3	insufficient_data	no_prn_is_signal_detected	no_prn_local_is_signal	no_current_step3_prn_input								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=no_current_step3_prn_input	raw_read_link_status=linked;read_accession_source=ENA;prn_call_confidence=insufficient_evidence;evidence_flags=legacy_step3_coverage_gap;no_step3_prn_input;upstream_notes=prn04_rule=no_current_step3_prn_input;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	insufficient_data	Insufficient data	context	6	SAMEA751154		prn_evt_insufficient__not_available_current_step3	insufficient_data	no_prn_is_signal_detected	no_prn_local_is_signal	no_current_step3_prn_input								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=no_current_step3_prn_input	raw_read_link_status=linked;read_accession_source=ENA;prn_call_confidence=insufficient_evidence;evidence_flags=legacy_step3_coverage_gap;no_step3_prn_input;upstream_notes=prn04_rule=no_current_step3_prn_input;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN08136991		prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	supported_concordant	is481_ismapper_panisa	assembly_event_called								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	step3_source_accession=GCF_004007095.1;prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;mapped_from_legacy_mirror_or_alt_accession;no_supported_is_hit;upstream_notes=step3_source_accession=GCF_004007095.1;prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=2;primary_hit=ismapper,IS481,1099682,1099688	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_concordant;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN42391118		prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	unresolved	not_run	assembly_event_called	linked_incompatible_run_current_short_read_validator	not_illumina	PAIRED	PACBIO_SMRT	skip_incompatible	linked_incompatible_run_current_short_read_validator	retain as a separate long-read/nonpaired follow-up track; current ISMapper/panISa workflow assumes paired Illumina and should not be forced onto this run	compatibility_excluded	linked_incompatible_run_current_short_read_validator	1	0	0	0	1											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit;upstream_notes=prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=0;panisa_file_found=0;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=unresolved;resolved_bucket=compatibility_excluded;compatibility_state=linked_incompatible_run_current_short_read_validator
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN12385786		prn_evt_other_disruption__insertion_like__gap1040	coding_disrupted_other	no_prn_is_signal_detected	no_prn_local_is_signal	assembly_event_called								true_nonrecovery	observed_no_prn_signal	1	1	0	1	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit;upstream_notes=prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=no_prn_is_signal_detected;resolved_bucket=true_nonrecovery;compatibility_state=observed_no_prn_signal
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN06007543		prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	supported_candidate	is481_ismapper_only	assembly_event_called								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	step3_source_accession=GCF_002859785.1;prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;mapped_from_legacy_mirror_or_alt_accession;no_supported_is_hit;upstream_notes=step3_source_accession=GCF_002859785.1;prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=1;primary_hit=ismapper,IS481,1099682,1099688	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_candidate;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN42391121		prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	unresolved	not_run	assembly_event_called	linked_incompatible_run_current_short_read_validator	not_illumina	PAIRED	PACBIO_SMRT	skip_incompatible	linked_incompatible_run_current_short_read_validator	retain as a separate long-read/nonpaired follow-up track; current ISMapper/panISa workflow assumes paired Illumina and should not be forced onto this run	compatibility_excluded	linked_incompatible_run_current_short_read_validator	1	0	0	0	1											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit;upstream_notes=prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=0;panisa_file_found=0;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=unresolved;resolved_bucket=compatibility_excluded;compatibility_state=linked_incompatible_run_current_short_read_validator
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN12585531		prn_evt_other_disruption__insertion_like__gap1040	coding_disrupted_other	supported	is481_panisa_only	assembly_event_called								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit;upstream_notes=prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=1;primary_hit=panisa,IS481,1099683,1099688	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN11539725		prn_evt_other_disruption__insertion_like__gap1040	coding_disrupted_other	supported_candidate	is481_ismapper_only	assembly_event_called								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit;upstream_notes=prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=1;primary_hit=ismapper,IS481,1099685,1099685	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_candidate;resolved_bucket=recovered;compatibility_state=observed_recovered
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN42391128		prn_evt_other_disruption__insertion_like__gap1044	coding_disrupted_other	unresolved	not_run	assembly_event_called	linked_incompatible_run_current_short_read_validator	not_illumina	PAIRED	PACBIO_SMRT	skip_incompatible	linked_incompatible_run_current_short_read_validator	retain as a separate long-read/nonpaired follow-up track; current ISMapper/panISa workflow assumes paired Illumina and should not be forced onto this run	compatibility_excluded	linked_incompatible_run_current_short_read_validator	1	0	0	0	1											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit;upstream_notes=prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=0;panisa_file_found=0;prn_hit_count=0	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=unresolved;resolved_bucket=compatibility_excluded;compatibility_state=linked_incompatible_run_current_short_read_validator
empirical	other_insertion_like	Other insertion-like disruptions	primary	3	SAMN11539730		prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	supported_candidate	is481_ismapper_only	assembly_event_called								recovered	observed_recovered	1	1	1	0	0											ismapper_panisa_stage4_prn_validation	step4_03_validate_prn_with_reads.py::2026-04-05;python=3.12.9	prn04_rule=insertion_like_without_supported_is	raw_read_link_status=linked;read_accession_source=SRA;prn_call_confidence=assembly_low;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit;upstream_notes=prn04_rule=insertion_like_without_supported_is;batch_label=current;ismapper_tables_found=3;panisa_file_found=1;prn_hit_count=2;primary_hit=ismapper,IS481,1099675,1099694	empirical_validation	pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_validation_subset.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_read_validation.tsv;pertussis_data/pertussis_gene/step4_prn_validation/outputs/bp_prn_targeted_validation_followup_queue.tsv	legacy_status=supported_candidate;resolved_bucket=recovered;compatibility_state=observed_recovered
