analysis_id	tree_tip_label	sample_id_canonical	assembly_accession	prn_state	prn_mechanism_call	prn_event_id	country_iso3	year	selection_roles	nearest_to_disrupted_tip_count	nearest_neighbor_min_rank	nearest_neighbor_min_distance	source_disrupted_tip_examples	is_public_longread_or_hybrid	read_accessions
rooted_snp_k3_neighborhood	GCA_001601785.1	SAMN03251820	GCA_001601785.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605055.1	SAMN03249363	GCA_001605055.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2010	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605115.1	SAMN03249368	GCA_001605115.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2010	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605155.1	SAMN03249372	GCA_001605155.1	intact	intact		USA	2010	nearest_intact_neighbor	19	2	0.00000559	GCA_000479595.2;GCA_000479715.2;GCA_001601785.1;GCA_001605445.1;GCA_001605485.1;GCA_001605505.1;GCA_001605565.1;GCA_001605705.1;GCA_001686425.1;GCA_001985305.1	False	
rooted_snp_k3_neighborhood	GCA_001605195.1	SAMN03249367	GCA_001605195.1	intact	intact		USA	2010	nearest_intact_neighbor	10	1	0.00000169	GCA_000479555.2;GCA_000479655.2;GCA_000479695.2;GCA_000479775.2;GCA_001605055.1;GCA_001605115.1;GCA_001605525.1;GCA_001686405.1;GCA_001985525.1;GCA_001985585.1	False	
rooted_snp_k3_neighborhood	GCA_001605405.1	SAMN03249379	GCA_001605405.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605425.1	SAMN03249380	GCA_001605425.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605445.1	SAMN03216666	GCA_001605445.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605485.1	SAMN03216668	GCA_001605485.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605505.1	SAMN03216669	GCA_001605505.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605525.1	SAMN03216670	GCA_001605525.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605565.1	SAMN03216673	GCA_001605565.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001605625.1	SAMN03216676	GCA_001605625.1	intact	intact		USA	2012	nearest_intact_neighbor	2	2	0.00000462	GCA_001307685.1;GCA_001601775.1	False	
rooted_snp_k3_neighborhood	GCA_001605685.1	SAMN03216679	GCA_001605685.1	intact	intact		USA	2012	nearest_intact_neighbor	11	1	0.00000187	GCA_000479555.2;GCA_000479655.2;GCA_000479695.2;GCA_000479775.2;GCA_001509915.1;GCA_001605055.1;GCA_001605115.1;GCA_001605525.1;GCA_001686405.1;GCA_001985525.1	False	
rooted_snp_k3_neighborhood	GCA_001605705.1	SAMN03216665	GCA_001605705.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001686365.1	SAMN04867636	GCA_001686365.1	intact	intact		USA	2012	nearest_intact_neighbor	3	3	0.00000573	GCA_001605405.1;GCA_001605425.1;GCA_001985545.1	False	
rooted_snp_k3_neighborhood	GCA_001686405.1	SAMN04867637	GCA_001686405.1	disrupted	coding_disrupted_is481		USA	2013	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001686425.1	SAMN04867635	GCA_001686425.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001686485.1	SAMN04867638	GCA_001686485.1	intact	intact		USA	2013	nearest_intact_neighbor	3	2	0.00000492	GCA_001605405.1;GCA_001605425.1;GCA_001985545.1	False	
rooted_snp_k3_neighborhood	GCA_001686505.1	SAMN04867627	GCA_001686505.1	intact	intact		USA	2001	nearest_intact_neighbor	1	2	0.00000344	GCA_001307525.1	False	
rooted_snp_k3_neighborhood	GCA_001686545.1	SAMN04867630	GCA_001686545.1	intact	intact		USA	2001	nearest_intact_neighbor	1	1	0.00000310	GCA_001307525.1	False	
rooted_snp_k3_neighborhood	GCA_001985005.1	SAMN03455335	GCA_001985005.1	intact	intact		USA	2003	nearest_intact_neighbor	2	1	0.00000652	GCA_001985765.1;GCA_001985845.1	False	
rooted_snp_k3_neighborhood	GCA_001985025.1	SAMN03455336	GCA_001985025.1	intact	intact		USA	2004	nearest_intact_neighbor	1	3	0.00000746	GCA_001307645.1	False	
rooted_snp_k3_neighborhood	GCA_001985205.1	SAMN03455345	GCA_001985205.1	intact	intact		USA	2008	nearest_intact_neighbor	1	1	0.00000214	GCA_001509915.1	False	
rooted_snp_k3_neighborhood	GCA_001985305.1	SAMN03455350	GCA_001985305.1	disrupted	coding_disrupted_is481		USA	2010	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985465.1	SAMN03455358	GCA_001985465.1	intact	intact		USA	2011	nearest_intact_neighbor	9	2	0.00000241	GCA_000479555.2;GCA_000479655.2;GCA_000479775.2;GCA_001509915.1;GCA_001605115.1;GCA_001605525.1;GCA_001686405.1;GCA_001985525.1;GCA_001985585.1	False	
rooted_snp_k3_neighborhood	GCA_001985505.1	SAMN03455360	GCA_001985505.1	disrupted	coding_disrupted_is481		USA	2011	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985525.1	SAMN03455361	GCA_001985525.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2011	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985545.1	SAMN03455362	GCA_001985545.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985565.1	SAMN03455363	GCA_001985565.1	intact	intact		USA	2012	nearest_intact_neighbor	4	1	0.00000430	GCA_000479595.2;GCA_000479715.2;GCA_001307685.1;GCA_001601775.1	False	
rooted_snp_k3_neighborhood	GCA_001985585.1	SAMN03455364	GCA_001985585.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985605.1	SAMN03455365	GCA_001985605.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985625.1	SAMN03455366	GCA_001985625.1	disrupted	coding_disrupted_is481		USA	2013	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985645.1	SAMN03455367	GCA_001985645.1	disrupted	coding_disrupted_is481		USA	2013	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985665.1	SAMN03455368	GCA_001985665.1	intact	intact		USA	2013	nearest_intact_neighbor	17	1	0.00000426	GCA_001601785.1;GCA_001605445.1;GCA_001605485.1;GCA_001605505.1;GCA_001605565.1;GCA_001605705.1;GCA_001686425.1;GCA_001985305.1;GCA_001985505.1;GCA_001985605.1	False	
rooted_snp_k3_neighborhood	GCA_001985765.1	SAMN03854490	GCA_001985765.1	disrupted	coding_disrupted_inversion_or_rearrangement		USA	2009	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985845.1	SAMN03854494	GCA_001985845.1	disrupted	coding_disrupted_is481		USA	2013	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985865.1	SAMN03854495	GCA_001985865.1	intact	intact		USA	2012	nearest_intact_neighbor	3	1	0.00000431	GCA_001605405.1;GCA_001605425.1;GCA_001985545.1	False	
rooted_snp_k3_neighborhood	GCA_001985905.1	SAMN03854497	GCA_001985905.1	disrupted	coding_disrupted_is481		USA	2013	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985925.1	SAMN03854498	GCA_001985925.1	disrupted	coding_disrupted_is481		USA	2013	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985945.1	SAMN03854499	GCA_001985945.1	disrupted	coding_disrupted_is481		USA	2013	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001985965.1	SAMN03854500	GCA_001985965.1	disrupted	coding_disrupted_is481		USA	2014	disrupted_target					False	
rooted_snp_k3_neighborhood	GCA_001986045.1	SAMN03877219	GCA_001986045.1	disrupted	coding_disrupted_is481		USA	2012	disrupted_target					False	
rooted_snp_k3_neighborhood	Reference			intact	reference_assumed_intact				root_anchor					False	
full_manifest_proxy_k3_neighborhood	SAMD00570813	SAMD00570813	GCA_055380295.1	intact	intact	prn_evt_intact	JPN	2020	nearest_intact_neighbor	2	1	0.01969654	SAMN10182686;SAMN14488313	True	DRR428489
full_manifest_proxy_k3_neighborhood	SAMD01593371	SAMD01593371	GCA_055386605.1	intact	intact	prn_evt_intact	JPN	2024	nearest_intact_neighbor	1	3	0.02235002	SAMN10298213	True	DRR705529;DRR707963
full_manifest_proxy_k3_neighborhood	SAMD01593374	SAMD01593374	GCA_055385365.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	JPN	2024	disrupted_target					True	DRR705532;DRR707966
full_manifest_proxy_k3_neighborhood	SAMD01593375	SAMD01593375	GCA_055542695.1	intact	intact	prn_evt_intact	JPN	2025	nearest_intact_neighbor	1	2	0.02235002	SAMN10298213	True	DRR705533;DRR707967
full_manifest_proxy_k3_neighborhood	SAMD01593376	SAMD01593376	GCA_055384595.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	JPN	2025	disrupted_target					True	DRR705534;DRR707968
full_manifest_proxy_k3_neighborhood	SAMEA1062145	SAMEA1062145	GCA_900327875.1	intact	intact	prn_evt_intact	CZE	1954	nearest_intact_neighbor	5	1	0.01859464	SAMN04383578;SAMN07352193;SAMN08524463;SAMN12585515;SAMN12912230	True	
full_manifest_proxy_k3_neighborhood	SAMEA1062147	SAMEA1062147	GCA_900327845.1	intact	intact	prn_evt_intact	CZE	1954	nearest_intact_neighbor	1	1	0.02473610	SAMN03216665	True	
full_manifest_proxy_k3_neighborhood	SAMEA117615782	SAMEA117615782	GCA_965117315.1	intact	intact	prn_evt_intact	FRA	2024	nearest_intact_neighbor	4	1	0.02065248	SAMN08469402;SAMN10298217;SAMN14488315;SAMN18620763	True	
full_manifest_proxy_k3_neighborhood	SAMEA117615783	SAMEA117615783	GCA_965117305.1	intact	intact	prn_evt_intact	FRA	2024	nearest_intact_neighbor	1	2	0.02134858	SAMN18620792	True	
full_manifest_proxy_k3_neighborhood	SAMEA117615784	SAMEA117615784	GCA_965117285.1	intact	intact	prn_evt_intact	FRA	2024	nearest_intact_neighbor	2	1	0.02044430	SAMN08524476;SAMN11539630	True	
full_manifest_proxy_k3_neighborhood	SAMEA117615785	SAMEA117615785	GCA_965117295.1	intact	intact	prn_evt_intact	FRA	2024	nearest_intact_neighbor	2	3	0.02234897	SAMN12305707;SAMN42391104	True	
full_manifest_proxy_k3_neighborhood	SAMEA117615786	SAMEA117615786	GCA_965117325.1	intact	intact	prn_evt_intact	FRA	2024	nearest_intact_neighbor	2	3	0.02386888	SAMN02436242;SAMN08395638	True	
full_manifest_proxy_k3_neighborhood	SAMEA3923584	SAMEA3923584	GCA_900445865.1	intact	intact	prn_evt_intact	DNK		nearest_intact_neighbor	3	1	0.02029288	SAMN08471223;SAMN12108514;SAMN12523762	True	ERR1475874
full_manifest_proxy_k3_neighborhood	SAMEA3923585	SAMEA3923585	GCA_900445935.1	intact	intact	prn_evt_intact	DNK		nearest_intact_neighbor	4	1	0.02167998	SAMN08469392;SAMN08524475;SAMN08524478;SAMN10182697	True	ERR1475875
full_manifest_proxy_k3_neighborhood	SAMEA3923586	SAMEA3923586	GCA_900475665.1	intact	intact	prn_evt_intact	GBR	1967	nearest_intact_neighbor	2	2	0.02132096	SAMN12305707;SAMN42391104	True	ERR1475876
full_manifest_proxy_k3_neighborhood	SAMEA3936801	SAMEA3936801	GCA_900186845.1	intact	intact	prn_evt_intact	GBR	2012	nearest_intact_neighbor	5	1	0.01893638	SAMN10161217;SAMN10176981;SAMN13699879;SAMN13699880;SAMN18620750	True	ERR1543219
full_manifest_proxy_k3_neighborhood	SAMEA4693567	SAMEA4693567	GCA_900465145.1	intact	intact	prn_evt_intact	CZE	2014	nearest_intact_neighbor	1	1	0.01948860	SAMN08164950	True	
full_manifest_proxy_k3_neighborhood	SAMEA4693568	SAMEA4693568	GCA_900465165.1	intact	intact	prn_evt_intact	CZE	2014	nearest_intact_neighbor	2	1	0.01953406	SAMN10182684;SAMN10298216	True	
full_manifest_proxy_k3_neighborhood	SAMEA4693570	SAMEA4693570	GCA_900465795.1	intact	intact	prn_evt_intact	CZE	2008	nearest_intact_neighbor	1	3	0.02343907	SAMN10161224	True	
full_manifest_proxy_k3_neighborhood	SAMEA4693571	SAMEA4693571	GCA_900465925.1	intact	intact	prn_evt_intact	CZE	2015	nearest_intact_neighbor	1	1	0.02196066	SAMN10161203	True	
full_manifest_proxy_k3_neighborhood	SAMEA4693574	SAMEA4693574	GCA_900465715.1	intact	intact	prn_evt_intact	CZE	2012	nearest_intact_neighbor	4	2	0.02183049	SAMN10176966;SAMN12385786;SAMN12523761;SAMN42391128	True	
full_manifest_proxy_k3_neighborhood	SAMEA4693575	SAMEA4693575	GCA_900465745.1	intact	intact	prn_evt_intact	CZE	2012	nearest_intact_neighbor	2	1	0.01954510	SAMN11539730;SAMN12523750	True	
full_manifest_proxy_k3_neighborhood	SAMEA4700352	SAMEA4700352	GCA_900492145.1	intact	intact	prn_evt_intact	FRA	2014	nearest_intact_neighbor	3	1	0.02227426	SAMD01593374;SAMN05751696;SAMN11539691	True	
full_manifest_proxy_k3_neighborhood	SAMN02436197	SAMN02436197	GCA_000479895.2	intact	intact	prn_evt_intact			nearest_intact_neighbor	1	1	0.02123112	SAMN12108529	False	
full_manifest_proxy_k3_neighborhood	SAMN02436200	SAMN02436200	GCA_000479555.2	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1045			disrupted_target					False	
full_manifest_proxy_k3_neighborhood	SAMN02436202	SAMN02436202	GCA_000479595.2	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043			disrupted_target					False	
full_manifest_proxy_k3_neighborhood	SAMN02436205	SAMN02436205	GCA_000479535.2	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043			disrupted_target					False	
full_manifest_proxy_k3_neighborhood	SAMN02436242	SAMN02436242	GCA_000479775.2	disrupted	coding_disrupted_other	prn_evt_other_disruption__insertion_like__gap204			disrupted_target					False	
full_manifest_proxy_k3_neighborhood	SAMN02436247	SAMN02436247	GCA_000479455.2	intact	intact	prn_evt_intact			nearest_intact_neighbor	1	2	0.02245377	SAMN11539676	False	
full_manifest_proxy_k3_neighborhood	SAMN02436249	SAMN02436249	GCA_000479715.2	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043			disrupted_target					False	
full_manifest_proxy_k3_neighborhood	SAMN02436296	SAMN02436296	GCA_000479855.2	intact	intact	prn_evt_intact			nearest_intact_neighbor	3	3	0.02238512	SAMN06007543;SAMN10182724;SAMN12912197	False	
full_manifest_proxy_k3_neighborhood	SAMN02436298	SAMN02436298	GCA_000479815.2	intact	intact	prn_evt_intact			nearest_intact_neighbor	1	1	0.02361426	SAMN12523736	False	
full_manifest_proxy_k3_neighborhood	SAMN02436300	SAMN02436300	GCA_000479695.2	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043			disrupted_target					False	
full_manifest_proxy_k3_neighborhood	SAMN02436301	SAMN02436301	GCA_000479655.2	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap54			disrupted_target					False	
full_manifest_proxy_k3_neighborhood	SAMN02603647	SAMN02603647	GCA_000212975.1	intact	intact	prn_evt_intact			nearest_intact_neighbor	2	1	0.02035858	SAMN06007545;SAMN14488295	False	
full_manifest_proxy_k3_neighborhood	SAMN03167927	SAMN03167927	GCA_001605365.1	intact	intact	prn_evt_intact	USA	2011	nearest_intact_neighbor	3	1	0.01933778	SAMN06007541;SAMN10182689;SAMN42391141	True	SRR1644068;SRR1659009;SRR1659010;SRR3205764;SRR3441661;SRR3441662
full_manifest_proxy_k3_neighborhood	SAMN03216665	SAMN03216665	GCA_001605705.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2012	disrupted_target					True	SRR3205765;SRR3441663;SRR3441664
full_manifest_proxy_k3_neighborhood	SAMN03216666	SAMN03216666	GCA_001605445.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2012	disrupted_target					True	SRR3205766;SRR3441665;SRR3441666
full_manifest_proxy_k3_neighborhood	SAMN03216667	SAMN03216667	GCA_001605465.1	intact	intact	prn_evt_intact	USA	2012	nearest_intact_neighbor	5	2	0.01822375	SAMN03216668;SAMN04383594;SAMN04383596;SAMN08395640;SAMN08395642	True	SRR3205767;SRR3441667;SRR3441668
full_manifest_proxy_k3_neighborhood	SAMN03216668	SAMN03216668	GCA_001605485.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2012	disrupted_target					True	SRR3205768;SRR3441669;SRR3441670
full_manifest_proxy_k3_neighborhood	SAMN03216669	SAMN03216669	GCA_001605505.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2012	disrupted_target					True	SRR3205769;SRR3441671;SRR3441672
full_manifest_proxy_k3_neighborhood	SAMN03216670	SAMN03216670	GCA_001605525.1	disrupted	coding_disrupted_inversion_or_rearrangement	prn_evt_rearrangement__within_contig__cov91	USA	2012	disrupted_target					True	SRR3205770;SRR3441673;SRR3441674
full_manifest_proxy_k3_neighborhood	SAMN03216671	SAMN03216671	GCA_001601775.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2012	disrupted_target					True	SRR3205771;SRR3441675;SRR3441676
full_manifest_proxy_k3_neighborhood	SAMN03216672	SAMN03216672	GCA_001605545.1	intact	intact	prn_evt_intact	USA	2012	nearest_intact_neighbor	1	2	0.01993218	SAMN12585523	True	SRR3205772;SRR3441677
full_manifest_proxy_k3_neighborhood	SAMN03216673	SAMN03216673	GCA_001605565.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2012	disrupted_target					True	SRR3205773;SRR3441678;SRR3441679
full_manifest_proxy_k3_neighborhood	SAMN03216676	SAMN03216676	GCA_001605625.1	intact	intact	prn_evt_intact	USA	2012	nearest_intact_neighbor	16	1	0.01534616	SAMN03249368;SAMN03702624;SAMN03702668;SAMN07352209;SAMN08164945;SAMN10161225;SAMN10176208;SAMN10182699;SAMN10182703;SAMN10182705	True	SRR3205776;SRR3441684;SRR3441685
full_manifest_proxy_k3_neighborhood	SAMN03216677	SAMN03216677	GCA_001605645.1	intact	intact	prn_evt_intact	USA	2012	nearest_intact_neighbor	2	3	0.02081790	SAMN03702680;SAMN03877223	True	SRR3205777;SRR3441686;SRR3441687
full_manifest_proxy_k3_neighborhood	SAMN03216678	SAMN03216678	GCA_001605665.1	intact	intact	prn_evt_intact	USA	2011	nearest_intact_neighbor	11	1	0.02077921	SAMN03464278;SAMN08164944;SAMN10176202;SAMN10176204;SAMN10176224;SAMN10176982;SAMN10182682;SAMN10182683;SAMN11822428;SAMN12585524	True	SRR3205778;SRR3441688;SRR3441689
full_manifest_proxy_k3_neighborhood	SAMN03216679	SAMN03216679	GCA_001605685.1	intact	intact	prn_evt_intact	USA	2012	nearest_intact_neighbor	16	1	0.01419513	SAMN03249368;SAMN03702624;SAMN03702668;SAMN07352209;SAMN08164945;SAMN10161225;SAMN10176208;SAMN10182699;SAMN10182703;SAMN10182705	True	SRR3205779;SRR3441690;SRR3441691
full_manifest_proxy_k3_neighborhood	SAMN03249361	SAMN03249361	GCA_001605035.1	intact	intact	prn_evt_intact	USA	2010	nearest_intact_neighbor	86	1	0.02244402	SAMN02436202;SAMN02436249;SAMN02436301;SAMN03249368;SAMN03455367;SAMN03702624;SAMN03702668;SAMN03702669;SAMN03702675;SAMN03702677	True	SRR3205780;SRR3441692;SRR3441693
full_manifest_proxy_k3_neighborhood	SAMN03249362	SAMN03249362	GCA_001605135.1	intact	intact	prn_evt_intact	USA	2010	nearest_intact_neighbor	2	1	0.02183848	SAMN06007762;SAMN12523742	True	SRR3205781;SRR3441694;SRR3441695
full_manifest_proxy_k3_neighborhood	SAMN03249363	SAMN03249363	GCA_001605055.1	disrupted	coding_disrupted_inversion_or_rearrangement	prn_evt_rearrangement__within_contig__cov91	USA	2010	disrupted_target					True	SRR3205782;SRR3441696;SRR3441698
full_manifest_proxy_k3_neighborhood	SAMN03249367	SAMN03249367	GCA_001605195.1	intact	intact	prn_evt_intact	USA	2010	nearest_intact_neighbor	2	2	0.02291158	SAMN05751700;SAMN10182691	True	SRR3205786;SRR3441707;SRR3441708;SRR3441709
full_manifest_proxy_k3_neighborhood	SAMN03249368	SAMN03249368	GCA_001605115.1	disrupted	coding_disrupted_inversion_or_rearrangement	prn_evt_rearrangement__within_contig__cov91	USA	2010	disrupted_target					True	SRR3205787;SRR3441710;SRR3441711
full_manifest_proxy_k3_neighborhood	SAMN03249369	SAMN03249369	GCA_001605215.1	intact	intact	prn_evt_intact	USA	2010	nearest_intact_neighbor	3	2	0.02167874	SAMN03702665;SAMN08136984;SAMN13699968	True	SRR3205788;SRR3441712;SRR3441713
full_manifest_proxy_k3_neighborhood	SAMN03249370	SAMN03249370	GCA_001605235.1	intact	intact	prn_evt_intact	USA	2010	nearest_intact_neighbor	1	1	0.01930820	SAMN03702660	True	SRR3205789;SRR3441714;SRR3441715
full_manifest_proxy_k3_neighborhood	SAMN03249371	SAMN03249371	GCA_001605255.1	intact	intact	prn_evt_intact	USA	2010	nearest_intact_neighbor	4	1	0.01741454	SAMN04221196;SAMN10298219;SAMN13699878;SAMN14488292	True	SRR3205790;SRR3441716;SRR3441717
full_manifest_proxy_k3_neighborhood	SAMN03249372	SAMN03249372	GCA_001605155.1	intact	intact	prn_evt_intact	USA	2010	nearest_intact_neighbor	2	1	0.01834630	SAMN07352227;SAMN08164950	True	SRR3205791;SRR3441718;SRR3441719
full_manifest_proxy_k3_neighborhood	SAMN03249373	SAMN03249373	GCA_001605275.1	intact	intact	prn_evt_intact	CHN	1951	nearest_intact_neighbor	1	2	0.00532820	SAMN18200430	True	SRR3205792;SRR3441720;SRR3441721
full_manifest_proxy_k3_neighborhood	SAMN03249376	SAMN03249376	GCA_001509915.1	disrupted	coding_disrupted_is481	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2013	disrupted_target					True	SRR3205795
full_manifest_proxy_k3_neighborhood	SAMN03249377	SAMN03249377	GCA_001605345.1	intact	intact	prn_evt_intact	USA	2010	nearest_intact_neighbor	3	1	0.01968548	SAMN10182681;SAMN10182701;SAMN18620761	True	SRR2037314;SRR3441725;SRR3441726
full_manifest_proxy_k3_neighborhood	SAMN03249379	SAMN03249379	GCA_001605405.1	disrupted	coding_disrupted_inversion_or_rearrangement	prn_evt_rearrangement__within_contig__cov58	USA	2012	disrupted_target					True	SRR2037316;SRR3441729;SRR3441730
full_manifest_proxy_k3_neighborhood	SAMN03249380	SAMN03249380	GCA_001605425.1	disrupted	coding_disrupted_inversion_or_rearrangement	prn_evt_rearrangement__within_contig__cov58	USA	2012	disrupted_target					True	SRR2037317;SRR3441731;SRR3441732
full_manifest_proxy_k3_neighborhood	SAMN03251820	SAMN03251820	GCA_001601785.1	disrupted	coding_disrupted_inversion_or_rearrangement	prn_evt_rearrangement__within_contig__cov58	USA	2012	disrupted_target					True	SRR3205796;SRR3441733;SRR3441734
