panel_id	prn_event_id	prn_mechanism_call	prn_call_confidence	bp_category	insertion_size_bin	insertion_subject_gap_bp	is_element_name	hit_support_tier	hit_orientation	category	subcategory	sample_count	event_count	country_count	year_min	year_max	example_sample_id_canonical	example_assembly_accession	representative_sequencing_tech	longread_like_sample_count	validation_level	supporting_read_or_public_longread	source_file	notes
breakpoint_gap_length_distribution		coding_disrupted_other	rule_medium	insertion_like	>1000	1040						3	1	2	2015	2018							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_other	rule_medium	insertion_like	>1000	1041						4	1	1	2018	2019							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_other	rule_medium	insertion_like	>1000	1042						10	1	2	2013	2022							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_other	rule_medium	insertion_like	>1000	1044						1	1	1	2022	2022							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		coding_disrupted_other	rule_medium	insertion_like	>1000	1045						1	1	1	2022	2022							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		insufficient_data	rule_low		unknown							387	4	24	1920	2025							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		intact	rule_high		unknown							1305	1	19	1935	2025							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
breakpoint_gap_length_distribution		uncertain_fragmented_assembly	rule_low	fragmented_contigs	unknown	NA						137	1	3	1957	2025							step4_prn_validation/outputs/bp_prn_breakpoint_summary.tsv	
is_hit_summary							IS481	moderate		supports_assigned_mechanism	true	1	1	1	2018	2018							step4_prn_validation/outputs/bp_prn_is_hits.tsv	best-hit rows only
is_hit_summary							IS481	strong		supports_assigned_mechanism	true	381	5	8	2009	2025							step4_prn_validation/outputs/bp_prn_is_hits.tsv	best-hit rows only
is_hit_summary							IS481	weak		supports_assigned_mechanism	false	20	6	3	2013	2022							step4_prn_validation/outputs/bp_prn_is_hits.tsv	best-hit rows only
event_catalog	prn_evt_coding_disrupted_is481__is481__gap1041	coding_disrupted_is481	rule_medium	insertion_like		1041	IS481	strong	-	event_catalog	IS481 insertion	3	1	1	2012	2012	SAMN12585517	GCA_022407095.1	Oxford Nanopore; Illumina	3	public_longread_or_hybrid_assembly	GCA_022407095.1::Oxford Nanopore; Illumina	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=;representative_validation_support=;evidence_flags=best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit
event_catalog	prn_evt_coding_disrupted_is481__is481__gap1042	coding_disrupted_is481	rule_high	insertion_like		1042	IS481	strong	+	event_catalog	IS481 insertion	7	1	1	2018	2019	SAMN11539676	GCA_027271095.1	PacBio Sequel II; Illumina MiSeq	7	public_longread_or_hybrid_assembly	GCA_027271095.1::PacBio Sequel II; Illumina MiSeq	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=supported_candidate;representative_validation_support=is481_ismapper_only;evidence_flags=best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit
event_catalog	prn_evt_coding_disrupted_is481__is481__gap1043	coding_disrupted_is481	rule_high	insertion_like		1043	IS481	strong	+	event_catalog	IS481 insertion	370	1	8	2009	2025	SAMN03455350	GCA_001985305.1	Illumina MiSeq; PacBio	357	read_backed_supported	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=supported_candidate;supported_concordant;unresolved;representative_validation_support=is481_ismapper_panisa;evidence_flags=best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit
event_catalog	prn_evt_coding_disrupted_is481__is481__gap1045	coding_disrupted_is481	rule_medium	insertion_like		1045	IS481	strong	-	event_catalog	IS481 insertion	1	1	0			SAMN02436200	GCA_000479555.2	Illumina HiSeq 2000	0	assembly_only		step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=;representative_validation_support=;evidence_flags=best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit
event_catalog	prn_evt_coding_disrupted_is481__is481__gap54	coding_disrupted_is481	rule_high	insertion_like		54	IS481	strong	-	event_catalog	IS481 insertion	1	1	0			SAMN02436301	GCA_000479655.2	Illumina HiSeq 2000	0	assembly_only		step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=;representative_validation_support=;evidence_flags=best_hit_is481;bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;strong_is_hit
event_catalog	prn_evt_other_disruption__insertion_like__gap1040	coding_disrupted_other	rule_medium	insertion_like		1040	IS481	weak	+	event_catalog	Other disruptions	3	1	2	2015	2018	SAMN12585531	GCA_022409155.1	Oxford Nanopore; Illumina	3	read_backed_supported	panisa:IS481@1099683-1099688:NA	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=no_prn_is_signal_detected;supported;supported_candidate;representative_validation_support=is481_panisa_only;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit
event_catalog	prn_evt_other_disruption__insertion_like__gap1041	coding_disrupted_other	rule_medium	insertion_like		1041	IS481	weak	+	event_catalog	Other disruptions	4	1	1	2018	2019	SAMN12108524	GCA_050562875.1	PacBio RS II; Illumina MiSeq	4	read_backed_supported	ismapper:IS1663@1096735-1097761:F; ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=supported_candidate;supported_concordant;representative_validation_support=is481_ismapper_panisa;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit
event_catalog	prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	rule_medium	insertion_like		1042	IS481	weak	+	event_catalog	Other disruptions	10	1	2	2013	2022	SAMN08136991	GCA_004007095.1	PacBio RSII; Illumina HiSeq	7	read_backed_supported	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=supported_candidate;supported_concordant;unresolved;representative_validation_support=is481_ismapper_panisa;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit
event_catalog	prn_evt_other_disruption__insertion_like__gap1044	coding_disrupted_other	rule_medium	insertion_like		1044	IS481	weak	-	event_catalog	Other disruptions	1	1	1	2022	2022	SAMN42391128	GCA_047323485.1	Illumina NovaSeq	0	read_validation_unresolved		step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=unresolved;representative_validation_support=not_run;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit
event_catalog	prn_evt_other_disruption__insertion_like__gap1045	coding_disrupted_other	rule_medium	insertion_like		1045	IS481	weak	-	event_catalog	Other disruptions	1	1	1	2022	2022	SAMN42391129	GCA_047323475.1	Illumina NovaSeq	0	read_validation_unresolved		step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=unresolved;representative_validation_support=not_run;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit
event_catalog	prn_evt_other_disruption__insertion_like__gap204	coding_disrupted_other	rule_medium	insertion_like		204	IS481	weak	-	event_catalog	Other disruptions	1	1	0			SAMN02436242	GCA_000479775.2	Illumina HiSeq 2000	0	assembly_only		step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=;representative_validation_support=;evidence_flags=bp_insertion_like;disrupted_multi_hsp;gap_sequence_extracted;insertion_gap_ge_50bp;no_supported_is_hit
event_catalog	prn_evt_rearrangement__within_contig__cov58	coding_disrupted_inversion_or_rearrangement	rule_medium	within_contig		0				event_catalog	Inversion / rearrangement	109	1	4	2009	2020	SAMN03854490	GCA_001985765.1	PacBio RSII; Illumina HiSeq	109	read_backed_supported	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=supported_candidate;supported_concordant;representative_validation_support=is481_ismapper_panisa;evidence_flags=bp_opposite_strand_or_complex;bp_within_contig;disrupted_multi_hsp
event_catalog	prn_evt_rearrangement__within_contig__cov91	coding_disrupted_inversion_or_rearrangement	rule_medium	within_contig		0				event_catalog	Inversion / rearrangement	65	1	3	2010	2024	SAMN03249363	GCA_001605055.1	Illumina MiSeq; PacBio	64	read_backed_supported	ismapper:IS481@1098329-1098335:R; panisa:IS481@1098330-1098335:NA	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=supported_concordant;unresolved;representative_validation_support=is481_ismapper_panisa;evidence_flags=bp_opposite_strand_or_complex;bp_within_contig;disrupted_multi_hsp
event_catalog	prn_evt_rearrangement__within_contig__cov94	coding_disrupted_inversion_or_rearrangement	rule_medium	within_contig		0				event_catalog	Inversion / rearrangement	1	1	1	2011	2011	SAMN07137591	GCA_002240475.1	PacBio RSII; Illumina MiSeq	1	public_longread_or_hybrid_assembly	GCA_002240475.1::PacBio RSII; Illumina MiSeq	step4_prn_validation/outputs/bp_prn_mechanism_calls.tsv;step4_prn_validation/outputs/bp_prn_is_hits.tsv;step4_prn_validation/outputs/bp_prn_read_validation.tsv	read_validation_statuses=;representative_validation_support=;evidence_flags=bp_opposite_strand_or_complex;bp_within_contig;disrupted_multi_hsp;mapped_from_legacy_mirror_or_alt_accession
