origin_id	sample_id_canonical	assembly_accession	selection_layer	selection_roles	prn_state	prn_event_id	country_iso3	year	selection_reason	is_selected_for_local_tree	snippy_ctg_completed
origin_0001	SAMN12523732	GCA_027271075.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2018	proxy_nearest_intact_neighbor	True	True
origin_0001	SAMN18200431	GCA_017357125.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	AUS	2015	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN02436249	GCA_000479715.2	rooted_snp_k3_neighborhood	disrupted_target	disrupted				rooted_package_disrupted_descendant	True	True
origin_0003	SAMN02436298	GCA_000479815.2	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact				rooted_nearest_intact_neighbor	True	True
origin_0003	SAMN03249372	GCA_001605155.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2010	rooted_nearest_intact_neighbor	True	True
origin_0003	SAMN03455363	GCA_001985565.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2012	rooted_nearest_intact_neighbor	True	True
origin_0003	SAMN03249361	GCA_001605035.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2010	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN03249370	GCA_001605235.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2010	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN03251820	GCA_001601785.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_rearrangement__within_contig__cov58	USA	2012	proxy_same_event_extra_disrupted_target	True	True
origin_0003	SAMN03566780	GCA_001307585.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NLD	1999	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN03566783	GCA_001307645.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_rearrangement__within_contig__cov58	SWE	2009	proxy_same_event_extra_disrupted_target	True	True
origin_0003	SAMN03702621	GCA_001986635.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2011	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN03702625	GCA_001986715.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_rearrangement__within_contig__cov58	USA	2011	proxy_same_event_extra_disrupted_target	True	True
origin_0003	SAMN03702660	GCA_001987415.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_rearrangement__within_contig__cov58	USA	2012	proxy_same_event_extra_disrupted_target	True	True
origin_0003	SAMN04221179	GCA_001988035.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	1955	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN04383572	GCA_001988815.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2010	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN04383574	GCA_001988855.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2012	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN07352213	GCA_004637185.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2014	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN08395605	GCA_004635385.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	GBR	1967	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN08395623	GCA_004635405.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2014	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN08395634	GCA_004634705.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	GTM	2014	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN18200431	GCA_017357125.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	AUS	2015	proxy_nearest_intact_neighbor	True	True
origin_0003	SAMN33015675	GCA_032288525.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	ZAF	2019	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN03566780	GCA_001307585.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		NLD	1999	rooted_nearest_intact_neighbor	True	True
origin_0007	SAMN03566781	GCA_001307605.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		NLD	1999	rooted_nearest_intact_neighbor	True	True
origin_0007	SAMN03455335	GCA_001985005.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2003	rooted_nearest_intact_neighbor	True	True
origin_0007	SAMN03854494	GCA_001985845.1	rooted_snp_k3_neighborhood	disrupted_target	disrupted		USA	2013	rooted_package_disrupted_descendant	True	True
origin_0007	SAMN03249361	GCA_001605035.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2010	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN03249376	GCA_001509915.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2013	proxy_same_event_extra_disrupted_target	True	True
origin_0007	SAMN03455334	GCA_001984985.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2002	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN03455355	GCA_001985405.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2011	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN03455356	GCA_001985425.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2011	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN03455366	GCA_001985625.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2013	proxy_same_event_extra_disrupted_target	True	True
origin_0007	SAMN03455367	GCA_001985645.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2013	proxy_same_event_extra_disrupted_target	True	True
origin_0007	SAMN03464280	GCA_001986335.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2013	proxy_same_event_extra_disrupted_target	True	True
origin_0007	SAMN03702614	GCA_001986495.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2003	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN03702643	GCA_001987075.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2012	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN04221182	GCA_001988095.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2000	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN05583849	GCA_002286155.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2003	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN08395623	GCA_004635405.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2014	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN08395627	GCA_004634925.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2014	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN08469396	GCA_004636265.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2015	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN12385762	GCA_022409575.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NZL	1984	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN33015676	GCA_032288865.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	ZAF	2019	proxy_nearest_intact_neighbor	True	True
origin_0007	SAMN42391110	GCA_047323755.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	CHN	2021	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN02436301	GCA_000479655.2	rooted_snp_k3_neighborhood	disrupted_target	disrupted				rooted_package_disrupted_descendant	True	True
origin_0008	SAMN02436242	GCA_000479775.2	rooted_snp_k3_neighborhood	disrupted_target	disrupted				rooted_package_disrupted_descendant	True	True
origin_0008	SAMN03249367	GCA_001605195.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2010	rooted_nearest_intact_neighbor	True	True
origin_0008	SAMN03249379	GCA_001605405.1	rooted_snp_k3_neighborhood	disrupted_target	disrupted		USA	2012	rooted_package_disrupted_descendant	True	True
origin_0008	SAMN03249380	GCA_001605425.1	rooted_snp_k3_neighborhood	disrupted_target	disrupted		USA	2012	rooted_package_disrupted_descendant	True	True
origin_0008	SAMN03216679	GCA_001605685.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2012	rooted_nearest_intact_neighbor	True	True
origin_0008	SAMN04867636	GCA_001686365.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2012	rooted_nearest_intact_neighbor	True	True
origin_0008	SAMN04867638	GCA_001686485.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2013	rooted_nearest_intact_neighbor	True	True
origin_0008	SAMN03455358	GCA_001985465.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2011	rooted_nearest_intact_neighbor	True	True
origin_0008	SAMN03455362	GCA_001985545.1	rooted_snp_k3_neighborhood	disrupted_target	disrupted		USA	2012	rooted_package_disrupted_descendant	True	True
origin_0008	SAMN03854495	GCA_001985865.1	rooted_snp_k3_neighborhood	nearest_intact_neighbor	intact		USA	2012	rooted_nearest_intact_neighbor	True	True
origin_0008	SAMEA1062145	GCA_900327875.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	CZE	1954	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMEA117615782	GCA_965117315.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	FRA	2024	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMEA117615783	GCA_965117305.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	FRA	2024	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMEA117615784	GCA_965117285.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	FRA	2024	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMEA117615786	GCA_965117325.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	FRA	2024	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMEA3923585	GCA_900445935.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	DNK		proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03249361	GCA_001605035.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2010	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03249373	GCA_001605275.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	CHN	1951	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03455334	GCA_001984985.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2002	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03455355	GCA_001985405.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2011	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03455363	GCA_001985565.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2012	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03491902	GCA_001307565.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	FRA	2008	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03566780	GCA_001307585.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NLD	1999	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03566782	GCA_001307625.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NLD	2010	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03702617	GCA_001986555.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2006	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN03702621	GCA_001986635.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2011	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN04221184	GCA_001988135.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2003	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN04221185	GCA_001988155.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2005	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN04383567	GCA_001988715.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2002	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN04383569	GCA_001988755.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2010	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN04383574	GCA_001988855.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2012	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN04388407	GCA_002892765.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor;root_anchor	intact	prn_evt_intact	USA	1935	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN05751702	GCA_002442815.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2014	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN07137593	GCA_002240495.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2016	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN08136967	GCA_004009255.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2001	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN08164938	GCA_004009515.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2008	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN08395605	GCA_004635385.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	GBR	1967	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN08395620	GCA_004635145.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2014	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN08395623	GCA_004635405.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2014	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN08395632	GCA_004634885.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	GTM	2014	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN08469402	GCA_004636065.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2016	proxy_same_event_extra_disrupted_target	True	True
origin_0008	SAMN08524463	GCA_004635825.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2016	proxy_same_event_extra_disrupted_target	True	True
origin_0008	SAMN08524464	GCA_004635945.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2016	proxy_same_event_extra_disrupted_target	True	True
origin_0008	SAMN08524465	GCA_004635805.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2016	proxy_same_event_extra_disrupted_target	True	True
origin_0008	SAMN08524469	GCA_004636785.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2016	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN08524474	GCA_004636485.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2016	proxy_same_event_extra_disrupted_target	True	True
origin_0008	SAMN08524475	GCA_004635765.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2016	proxy_same_event_extra_disrupted_target	True	True
origin_0008	SAMN08524476	GCA_004636465.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2016	proxy_same_event_extra_disrupted_target	True	True
origin_0008	SAMN08524477	GCA_004635745.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2016	proxy_same_event_extra_disrupted_target	True	True
origin_0008	SAMN10161204	GCA_008812735.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2016	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN10161216	GCA_008811175.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2015	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN10176962	GCA_008821605.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2016	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN10182672	GCA_008822685.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2017	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN10298222	GCA_008822845.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2016	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN10457989	GCA_003860305.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	IND	2017	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN11539705	GCA_050562985.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2018	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN11821631	GCA_013168655.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2002	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN12305729	GCA_050562705.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA	2019	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN12385791	GCA_022407455.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NZL	2005	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN12385794	GCA_022407395.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	NZL	2005	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN16357509	GCA_016904215.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	USA		proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN18200431	GCA_017357125.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	AUS	2015	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN18620792	GCA_030252975.1	full_manifest_proxy_k3_neighborhood	disrupted_target	disrupted	prn_evt_coding_disrupted_is481__is481__gap1043	USA	2020	proxy_package_disrupted_target	True	True
origin_0008	SAMN22851881	GCA_023612135.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	CHN	1951	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN33015661	GCA_032277225.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	ZAF	2015	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN33015667	GCA_032282385.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	ZAF	2015	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN33015686	GCA_032291365.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	ZAF	2015	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN42391094	GCA_047324005.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	CHN	2022	proxy_nearest_intact_neighbor	True	True
origin_0008	SAMN42490576	GCA_040969985.1	full_manifest_proxy_k3_neighborhood	nearest_intact_neighbor	intact	prn_evt_intact	FRA	2024	proxy_nearest_intact_neighbor	True	True
