sample_id_canonical	assembly_accession	country	year	year_band	source_database	assembly_level	n_contigs	contig_n50	total_sequence_length	prn_mechanism_call	prn_state	read_linkage	include_in_snippy_ctg	in_core_full_alignment	excluded_pre_gubbins_missingness	missing_fraction_pre_gubbins	in_primary_asr_tree	final_contract_status	final_contract_reason
SAMN02436203	GCA_000479575.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	43	177196	4018810	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436204	GCA_000479735.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	193	33462	3904605	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN02436205	GCA_000479535.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	33	266526	4045246	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436206	GCA_000479615.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	121	52170	3839596	uncertain_fragmented_assembly	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN02436207	GCA_000479495.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	48	164785	4064081	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436242	GCA_000479775.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	127	43391	4051572	coding_disrupted_other	disrupted	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436243	GCA_000479755.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	108	45197	4050203	uncertain_fragmented_assembly	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436244	GCA_000479915.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	131	46140	3828499	uncertain_fragmented_assembly	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN02436245	GCA_000479415.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	95	74009	4029822	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436246	GCA_000479395.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	63	102522	4047567	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436247	GCA_000479455.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	173	36602	3938674	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436248	GCA_000479675.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	26	343155	4053851	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436249	GCA_000479715.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	49	139362	4028419	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436296	GCA_000479855.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	37	222972	4065443	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436297	GCA_000479795.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	124	50507	3834602	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN02436298	GCA_000479815.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	56	115723	4027480	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436299	GCA_000479475.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	60	150397	4073712	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436300	GCA_000479695.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	25	419274	4083349	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436301	GCA_000479655.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	179	31198	3907019	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN02436302	GCA_000479635.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	285	20908	3940180	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02436303	GCA_000479875.2	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Contig	149	46159	3855042	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN02470863	GCA_000193595.3	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Complete Genome	1	4102186	4102186	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02470864	GCA_000193615.3	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Complete Genome	1	4114630	4114630	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN02603647	GCA_000212975.1	Unknown	NA	NA	SOURCE_DATABASE_GENBANK	Complete Genome	1	4124236	4124236	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMEA751134	GCA_001331475.1	Argentina	2008	pre-2009	SOURCE_DATABASE_GENBANK	Scaffold	341	17466	3815303	insufficient_data	insufficient_or_uncertain	linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMEA751511	GCA_001203935.1	Australia	1977	pre-2009	SOURCE_DATABASE_GENBANK	Scaffold	406	15170	3824566	insufficient_data	insufficient_or_uncertain	linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMEA751512	GCA_001333795.1	Australia	1977	pre-2009	SOURCE_DATABASE_GENBANK	Scaffold	342	18972	3829345	insufficient_data	insufficient_or_uncertain	linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMEA751183	GCA_001206895.1	Australia	1995	pre-2009	SOURCE_DATABASE_GENBANK	Scaffold	327	18351	3821068	insufficient_data	insufficient_or_uncertain	linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMEA751475	GCA_001198375.1	Australia	2000	pre-2009	SOURCE_DATABASE_GENBANK	Scaffold	348	17525	3829485	insufficient_data	insufficient_or_uncertain	linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN18200432	GCA_017357165.1	Australia	2008	pre-2009	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104145	4104145	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN18200430	GCA_017357205.1	Australia	2011	2009-2013	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109518	4109518	coding_disrupted_inversion_or_rearrangement	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN07235949	GCA_002270325.1	Australia	2014	2014-2018	SOURCE_DATABASE_GENBANK	Contig	276	20926	3910437	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN18200431	GCA_017357125.1	Australia	2015	2014-2018	SOURCE_DATABASE_GENBANK	Complete Genome	1	4093865	4093865	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN44480251	GCA_046736165.1	Australia	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104672	4104672	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN44480252	GCA_046895385.1	Australia	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4104613	4104613	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN05776224	GCA_020536205.1	Brazil	2004	pre-2009	SOURCE_DATABASE_GENBANK	Contig	287	21026	3825895	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN05782317	GCA_020622465.1	Brazil	2004	pre-2009	SOURCE_DATABASE_GENBANK	Contig	291	20202	3807899	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN05784484	GCA_020622475.1	Brazil	2008	pre-2009	SOURCE_DATABASE_GENBANK	Contig	285	21042	3820982	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN05783037	GCA_020622445.1	Brazil	2013	2009-2013	SOURCE_DATABASE_GENBANK	Contig	311	20264	3812281	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN48396311	GCA_050942135.1	Brazil	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110162	4110162	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN48396312	GCA_050942115.1	Brazil	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111852	4111852	coding_disrupted_inversion_or_rearrangement	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN48396314	GCA_050942125.1	Brazil	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110165	4110165	coding_disrupted_inversion_or_rearrangement	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN48396315	GCA_050942065.1	Brazil	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4111461	4111461	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN48396316	GCA_050942055.1	Brazil	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109546	4109546	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN48396317	GCA_050942035.1	Brazil	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4112113	4112113	coding_disrupted_inversion_or_rearrangement	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN48396318	GCA_050942235.1	Brazil	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4106900	4106900	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN48396320	GCA_050942045.1	Brazil	2024	2019-2025	SOURCE_DATABASE_GENBANK	Complete Genome	1	4110498	4110498	coding_disrupted_is481	disrupted	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN03249373	GCA_001605275.1	China	1951	pre-2009	SOURCE_DATABASE_GENBANK	Complete Genome	1	4133777	4133777	intact	intact	linked	TRUE	TRUE	FALSE	NA	TRUE	primary_asr_tree	retained_to_rooted_ml_tree_and_asr
SAMN22851881	GCA_023612135.1	China	1951	pre-2009	SOURCE_DATABASE_GENBANK	Complete Genome	1	4141631	4141631	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN11295233	GCA_008330005.1	China	2014	2014-2018	SOURCE_DATABASE_GENBANK	Complete Genome	1	4126010	4126010	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN33268689	GCA_028747745.1	China	2016	2014-2018	SOURCE_DATABASE_GENBANK	Complete Genome	1	4115400	4115400	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN33268690	GCA_028747765.1	China	2016	2014-2018	SOURCE_DATABASE_GENBANK	Complete Genome	1	4127463	4127463	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN09941175	GCA_014856975.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Scaffold	400	15367	3825847	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN17613197	GCA_023101445.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	271	20971	3862440	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN17613198	GCA_023101465.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	311	19510	3848705	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN33268552	GCA_028747725.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Complete Genome	1	4109051	4109051	intact	intact	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151934	GCA_053475005.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	272	20404	3826747	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151935	GCA_053474985.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	264	20844	3846169	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151936	GCA_053474965.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	272	20647	3845812	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151937	GCA_053474945.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	270	20647	3845408	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151938	GCA_053474925.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	268	20647	3845245	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151939	GCA_053474905.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	270	20647	3845415	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151940	GCA_053474745.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	264	20844	3827352	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151941	GCA_053474765.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	270	20270	3846411	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151942	GCA_053474725.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	268	20647	3845357	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151943	GCA_053474685.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	264	21132	3826955	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151944	GCA_053474705.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	263	20919	3827892	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151945	GCA_053474665.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	272	20270	3845667	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151946	GCA_053474645.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	266	20810	3846422	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151947	GCA_053474625.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	264	20914	3826971	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151948	GCA_053474605.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	272	20270	3844788	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151949	GCA_053474585.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	270	20403	3844701	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151950	GCA_053474545.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	269	20404	3827462	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151951	GCA_053474565.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	267	20802	3827265	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151952	GCA_053474505.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	270	20832	3837359	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151953	GCA_053474485.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	273	20215	3845188	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151954	GCA_053474525.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	270	20403	3844390	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151955	GCA_053474465.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	268	20913	3827235	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151956	GCA_053474425.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	268	20913	3826555	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN50151957	GCA_053474445.1	China	2018	2014-2018	SOURCE_DATABASE_GENBANK	Contig	268	20647	3827225	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN41373914	GCA_039679045.1	China	2019	2019-2025	SOURCE_DATABASE_GENBANK	Contig	269	20647	3847016	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN41373915	GCA_039679025.1	China	2019	2019-2025	SOURCE_DATABASE_GENBANK	Contig	268	20831	3848913	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN41373916	GCA_039679005.1	China	2019	2019-2025	SOURCE_DATABASE_GENBANK	Contig	269	20647	3847602	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN41373917	GCA_039678985.1	China	2019	2019-2025	SOURCE_DATABASE_GENBANK	Contig	273	20403	3847332	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN41373918	GCA_039678945.1	China	2019	2019-2025	SOURCE_DATABASE_GENBANK	Contig	271	20647	3847565	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
SAMN41373919	GCA_039678955.1	China	2019	2019-2025	SOURCE_DATABASE_GENBANK	Contig	273	20403	3846220	insufficient_data	insufficient_or_uncertain	not_linked	TRUE	TRUE	FALSE	NA	FALSE	core_alignment_only	present_in_core_alignment_but_absent_from_tip_state_export
