biosample_accession	current_accession	genome_fasta_path	resolved_genome_fasta_path	country	year	mlst_st	marker_status_bapC	marker_status_brkA	marker_status_fhaB	marker_status_phg	marker_status_sphB1	marker_status_tcfA	marker_status_vag8	marker_pident_bapC	marker_pident_brkA	marker_pident_fhaB	marker_pident_phg	marker_pident_sphB1	marker_pident_tcfA	marker_pident_vag8	marker_qcov_bapC	marker_qcov_brkA	marker_qcov_fhaB	marker_qcov_phg	marker_qcov_sphB1	marker_qcov_tcfA	marker_qcov_vag8	marker_len_bapC	marker_len_brkA	marker_len_fhaB	marker_len_phg	marker_len_sphB1	marker_len_tcfA	marker_len_vag8	marker_bapC	marker_brkA	marker_fhaB	marker_phg	marker_sphB1	marker_tcfA	marker_vag8	pseudo_control_loci_scanned
SAMN03249363	GCF_001605055.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605055.1/GCF_001605055.1_ASM160505v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605055.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249364	GCF_001605075.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605075.1/GCF_001605075.1_ASM160507v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605075.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249365	GCF_001605095.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605095.1/GCF_001605095.1_ASM160509v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605095.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	99.99	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10772	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	214cd959b341052962086ff6d9460835	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249368	GCF_001605115.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605115.1/GCF_001605115.1_ASM160511v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605115.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249362	GCF_001605135.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605135.1/GCF_001605135.1_ASM160513v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605135.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249372	GCF_001605155.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605155.1/GCF_001605155.1_ASM160515v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605155.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2986	3033	10773	1257	2796	1944	2748	78b68b6b29f66c30659d1bdc5016a9eb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249366	GCF_001605175.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605175.1/GCF_001605175.1_ASM160517v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605175.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.90	100.00	100.00	100.00	100.00	100.00	100.00	100.10	100.00	100.00	100.00	100.00	100.00	100.00	2990	3033	10773	1257	2796	1944	2748	7236448a62beea304fd84c7aa660b4af	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249367	GCF_001605195.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605195.1/GCF_001605195.1_ASM160519v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605195.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249369	GCF_001605215.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605215.1/GCF_001605215.1_ASM160521v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605215.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249370	GCF_001605235.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605235.1/GCF_001605235.1_ASM160523v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605235.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249371	GCF_001605255.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605255.1/GCF_001605255.1_ASM160525v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605255.1.fasta	USA	2010	2	ok	ok	ok	ok	ok	ok	ok	100.00	100.00	100.00	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	2987	3033	10773	1257	2796	1944	2748	f82a4e3b3615dde67ca1ea91b590a21f	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	c30d84eb01565c442cbea06994c3df30	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
SAMN03249373	GCF_001605275.1	../bp_genomes_qc/ncbi_dataset/data/GCF_001605275.1/GCF_001605275.1_ASM160527v1_genomic.fna	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605275.1.fasta	China	1951	1	ok	ok	ok	ok	ok	ok	ok	99.97	100.00	100.00	100.00	100.00	100.00	100.00	100.03	100.00	100.00	100.00	100.00	100.00	100.00	2988	3033	10773	1257	2796	1944	2748	617315bee57c6e03fd2aed0caf469cdb	7f911efceef14a75e84a005631d3f241	da0478e047a411c37783a749fed0c19b	3bb3ca91169fe2ef4a978c896b99f0d9	47002c2b08414e16d022934013aa7182	b1b993ebb886152c48b7223b5baf76d3	80797efcc4cedb4edc35a4be5005ccda	brkA,tcfA,vag8,sphB1,phg,bapC,fhaB
